S.No,Stock ID,Make,Model,Year,Trim,VIN,Mileage (mi),Fuel Type,Transmission,Engine,Drivetrain,Color,Interior,Body Type,Condition,Previous Owners,Service History,Accident History,Title Status,Price ($),Extra Features (in Comment),Notes
1,C001,Toyota,Camry,2016,XLE,DZHRJ4M4A3AH6T5K9,37235,Electric,CVT,4.7L I4,4WD,Silver,Brown,Sedan,Good,1,None,Major,Salvage,53150,"Apple CarPlay, Leather Seats, Sunroof, Backup Camera, Android Auto",Certified Pre-Owned
2,C002,Volkswagen,Atlas,2020,Sport,PHH163E1XDM8X9RXG,10697,Electric,Automatic,2.4L I4,AWD,Gray,Beige,Coupe,Good,2,Partial,None,Salvage,32446,"Backup Camera, Bluetooth, Remote Start",Dealer Maintained
3,C003,Mercedes-Benz,E-Class,2023,Base,E923FPC6DTR8WLK99,80018,Hybrid,CVT,3.0L V6,4WD,Gray,Brown,Truck,Excellent,2,Full,Major,Rebuilt,23487,"Apple CarPlay, Backup Camera, Android Auto",Dealer Maintained
4,C004,Honda,CR-V,2017,Sport,3GTH5KGJ3AW9LEPS2,49684,Hybrid,Manual,2.8L V6,RWD,Black,Beige,Sedan,Good,1,Partial,None,Lien,9707,"Bluetooth, Backup Camera",
5,C005,Mercedes-Benz,GLC,2017,XLE,CMGE9MPG3JCLK2TFJ,10578,Gasoline,Manual,4.4L V6,4WD,Silver,Black,Coupe,Fair,4,None,Major,Rebuilt,44577,"Lane Assist, Leather Seats",
6,C006,Mercedes-Benz,GLE,2016,Touring,Y8FX60X8H4N5N0M3Z,21607,Electric,CVT,3.4L V6,RWD,Green,Black,Coupe,Needs Work,2,None,None,Salvage,47583,"Lane Assist, Sunroof, Apple CarPlay, Remote Start, Android Auto",Dealer Maintained
7,C007,Mercedes-Benz,GLE,2023,SE,1PP2C2L4339NR5HJA,73000,Gasoline,CVT,2.0L I4,RWD,Gray,Brown,SUV,Good,2,None,None,Lien,37231,"Sunroof, Navigation, Bluetooth, Leather Seats, Backup Camera",Dealer Maintained
8,C008,Volkswagen,Passat,2018,Base,7U6325FVLBZHXHE1H,52373,Gasoline,Manual,3.5L I4,FWD,White,Gray,Hatchback,Good,1,None,None,Salvage,20870,"Navigation, Remote Start, Blind Spot Monitor, Android Auto, Sunroof",Certified Pre-Owned
9,C009,Hyundai,Elantra,2015,LE,DJ33Y6V9TMBH8Y7WY,56897,Hybrid,Manual,3.5L V6,RWD,Green,Brown,Sedan,Good,2,Partial,Minor,Rebuilt,9757,"Remote Start, Backup Camera, Navigation, Android Auto, Sunroof",
10,C010,Ford,Explorer,2015,Base,K6MM5L3KCFWJZVS21,66803,Electric,CVT,4.1L V6,AWD,Silver,Black,Truck,Fair,3,Partial,None,Lien,24837,"Apple CarPlay, Lane Assist, Navigation, Heated Seats",Dealer Maintained
11,C011,Toyota,RAV4,2016,Sport,ES2T327MTTBKBMR8B,70176,Gasoline,Manual,4.3L V6,RWD,Green,Beige,Coupe,Fair,4,None,Minor,Clean,26369,"Bluetooth, Sunroof, Navigation, Android Auto, Apple CarPlay",Recent Service
12,C012,Volkswagen,Atlas,2022,Touring,B93E3WYSG88U12B3B,114261,Electric,Manual,3.8L I4,RWD,Green,Beige,Hatchback,Needs Work,2,Full,Minor,Lien,51349,"Navigation, Remote Start, Android Auto, Heated Seats, Backup Camera",Recent Service
13,C013,Toyota,RAV4,2016,Touring,8MC5L6J1EHW33JV2D,118269,Electric,Automatic,4.8L I4,4WD,White,Brown,Hatchback,Good,3,Partial,Minor,Salvage,42724,"Android Auto, Sunroof",New Tires
14,C014,Honda,Civic,2014,Base,F70LHHH88W40H3KCH,114970,Hybrid,CVT,3.3L V6,AWD,Red,Black,SUV,Good,1,None,None,Lien,32377,"Apple CarPlay, Navigation, Lane Assist, Sunroof",
15,C015,Toyota,Highlander,2016,LE,KLK92BYA6X4YLNH6S,60686,Gasoline,Automatic,3.1L I4,FWD,Red,Gray,Hatchback,Needs Work,1,Partial,Major,Salvage,20766,"Heated Seats, Lane Assist, Sunroof, Apple CarPlay",New Tires
16,C016,Ford,Escape,2014,Base,X1WFTTNRE3V9FF4FK,58714,Hybrid,Manual,4.5L I4,FWD,White,Beige,Sedan,Good,3,Full,Minor,Clean,49178,"Navigation, Android Auto, Leather Seats, Heated Seats, Sunroof",Certified Pre-Owned
17,C017,Kia,Optima,2023,Base,LJT5F06KH4YHJB2XH,85067,Gasoline,CVT,1.6L V6,4WD,Gray,Black,Sedan,Excellent,4,Partial,Minor,Salvage,11593,"Apple CarPlay, Bluetooth, Backup Camera, Navigation",Dealer Maintained
18,C018,Hyundai,Tucson,2020,Base,Y034T2D7RAWD21U4N,105196,Gasoline,Manual,2.5L I4,AWD,Black,Black,SUV,Fair,1,None,None,Rebuilt,50594,"Blind Spot Monitor, Lane Assist, Navigation, Sunroof, Android Auto",
19,C019,Kia,Sportage,2019,SE,PLJTNPXCRDXU5L0U0,11895,Electric,Manual,3.2L V6,RWD,Black,Beige,Coupe,Needs Work,2,Partial,None,Lien,33684,"Bluetooth, Lane Assist",Dealer Maintained
20,C020,Honda,Accord,2019,SE,3ET9TNF4ATEAUDP4L,42710,Electric,Automatic,4.3L V6,4WD,Gray,Black,Coupe,Excellent,1,None,Major,Salvage,28378,"Sunroof, Bluetooth",Recent Service
21,C021,Kia,Sportage,2016,Sport,K75YWE2FHCRAFYZNM,107776,Hybrid,CVT,4.0L I4,RWD,Silver,Beige,Coupe,Good,1,None,Minor,Clean,14312,"Android Auto, Backup Camera, Leather Seats",Dealer Maintained
22,C022,Ford,Explorer,2016,Touring,7LYYJCL0U4848CF33,29437,Gasoline,Manual,2.4L I4,4WD,Silver,Beige,Sedan,Fair,4,Full,Minor,Salvage,23775,"Leather Seats, Blind Spot Monitor",
23,C023,Toyota,Camry,2017,Touring,ELUMG5A28DB4DZYBE,11159,Gasoline,Automatic,1.6L I4,FWD,Black,Gray,Sedan,Excellent,3,Full,None,Salvage,27332,"Android Auto, Heated Seats, Bluetooth, Leather Seats, Sunroof",Certified Pre-Owned
24,C024,Mercedes-Benz,E-Class,2015,XLE,9HJXCSUEXRY3NGX89,12244,Diesel,CVT,5.0L V6,RWD,Red,Brown,Truck,Good,3,Full,Major,Lien,25055,"Android Auto, Heated Seats",Recent Service
25,C025,Nissan,Sentra,2014,LE,0F2DRXZ5WVGL6C0JZ,51864,Gasoline,Manual,4.3L V6,4WD,Silver,Beige,SUV,Excellent,3,None,Major,Salvage,31394,"Leather Seats, Navigation",Certified Pre-Owned
26,C026,Hyundai,Sonata,2022,Base,EYVNLTZGZ634BXSEM,23640,Hybrid,Manual,3.4L I4,4WD,Silver,Beige,SUV,Needs Work,2,Partial,Major,Rebuilt,33717,"Remote Start, Backup Camera, Leather Seats",New Tires
27,C027,BMW,X5,2020,LE,TSYR6J3CAGZXAT7T8,68353,Diesel,Manual,3.2L V6,AWD,White,Beige,Sedan,Fair,2,None,Major,Salvage,33789,"Heated Seats, Lane Assist, Navigation",Certified Pre-Owned
28,C028,Volkswagen,Jetta,2014,Sport,M43VKUA9HB1MT1DU2,65798,Gasoline,CVT,1.7L V6,AWD,Black,Gray,Truck,Excellent,4,Full,Minor,Lien,40150,"Blind Spot Monitor, Navigation",New Tires
29,C029,Toyota,Corolla,2022,Base,8SYV52UAKR39C7JAA,83013,Diesel,Automatic,3.5L I4,AWD,Blue,Brown,Truck,Fair,3,Full,None,Rebuilt,46959,"Android Auto, Heated Seats, Apple CarPlay, Bluetooth, Leather Seats",Recent Service
30,C030,Nissan,Altima,2019,XLE,1ZH8K643LKVLHV26K,117045,Gasoline,Manual,3.3L V6,4WD,Green,Black,Hatchback,Fair,1,None,Major,Clean,16670,"Backup Camera, Blind Spot Monitor, Remote Start, Sunroof, Bluetooth",New Tires
31,C031,Nissan,Rogue,2015,XLE,BDPS5UT1AM0R89YZT,118826,Gasoline,Manual,4.4L I4,FWD,Blue,Black,Coupe,Fair,1,Full,Minor,Lien,46424,"Bluetooth, Blind Spot Monitor, Sunroof, Backup Camera",Certified Pre-Owned
32,C032,Mercedes-Benz,GLE,2023,Base,EP63TSVZ310MRNGB2,100789,Gasoline,CVT,2.2L V6,4WD,Blue,Gray,Sedan,Excellent,2,Partial,Major,Rebuilt,16006,"Lane Assist, Android Auto",Dealer Maintained
33,C033,Hyundai,Tucson,2018,Sport,BT66U3LN48BXMM0EC,54443,Hybrid,Automatic,3.4L I4,4WD,Red,Black,Sedan,Fair,3,None,None,Salvage,35452,"Leather Seats, Android Auto, Blind Spot Monitor",New Tires
